65908,65345,1232
141384,140770,1481
141384,142772,982
141384,143998,1524
200306,199322,1787
200306,203305,1694
271728,127084,1472
271728,272890,887
331376,186774,1556
331376,190881,1620
406925,262288,1328
406925,264925,975
406925,266890,1192
468000,323247,1466
496740,293674,1814
496740,354010,833
496740,356602,938
528101,262574,1198
528101,329286,1350
580850,314957,1754
580850,317318,877
647554,382073,1199
647554,386359,748
683261,417604,1340
683261,419969,542
683261,421044,1273
699038,401023,1445
788998,311099,1446
788998,493006,922
788998,494868,676
825552,347750,1537
825552,351654,1191
920981,443278,1117
920981,445096,988
992001,514084,1464
992001,518661,840
1053773,451419,1435
1053773,577668,798
1053773,579515,761
1065253,463053,1677
1160405,558267,1359
1160405,559972,916
1160405,562193,674
1247059,644791,1723
1247059,648355,1873
1327243,563995,1131
1327243,726783,932
1410768,647314,1732
1410768,650687,1604
1423818,633548,1251
1423818,663178,526
1423818,664716,1349
1500185,709640,1682
1574201,784007,1332
1574201,786101,748
1574201,786855,961
1589684,767786,1414
1589684,803150,1711
1657745,699522,1808
1657745,837674,574
1681530,676162,1055
1681530,726854,1492
1714931,709193,1493
1714931,711810,716
1714931,712348,1966
1786184,780541,1611
1855327,849845,1371
1855327,852444,880
1855327,853865,557
1942843,761716,1326
1942843,941031,1378
1979551,724747,1699
1979551,800249,639
2054206,799445,1786
2054206,803480,1705
2120516,732314,1350
2120516,867672,859
2120516,869825,994
2168677,780567,1630
2215835,827755,1653
2215835,830205,575
2215835,831997,981
2248392,860432,1350
2248392,863795,1633
2332676,775610,1327
2332676,946414,953
2357386,750819,1419
2357386,804055,602
2398200,791285,1547
2398200,793685,578
2398200,795342,1331
2422449,815637,1822
2519047,912241,1754
2519047,914190,542
2519047,915746,1398
2575094,855302,1394
2575094,972237,1667
2599604,880001,1217
2599604,882566,942
2639820,920116,1783
2639820,923892,1419
2680072,960495,1214
2680072,962631,519
2680072,965131,1024
2740603,899107,1566
2756128,914787,1379
2756128,917082,569
2756128,918788,784
2850922,1009382,1775
2850922,1014244,688
2870341,989403,1105
2870341,1030749,668
2908954,1027887,1321
2908954,1031245,1062
2919607,1016676,1332
2919607,1040727,769
2919607,1042504,1589
2946041,989864,1579
3013987,922327,1306
3013987,1060335,684
3013987,1062720,628
3071439,979634,1307
3071439,983217,682
3122347,927853,1602
3122347,1033033,877
3218532,831868,1646
3218532,1027460,690
3266819,783264,1671
3266819,882384,544
3266819,884768,1033
3304934,821705,1526
3354766,871510,1228
3354766,873967,527
3354766,874553,1975
3429951,795474,1587
3429951,950942,1681
3469990,755409,1408
3469990,837702,945
3521365,704336,1216
3521365,810391,1516
3532197,714899,1353
3532197,716999,628
3532197,719375,780
3606613,789353,1395
3684057,866792,1340
3684057,868764,658
3684057,869893,1194
3701463,848870,1068
3701463,888866,703
3731723,818557,1359
3731723,880948,683
3765073,785196,1397
3765073,854953,1052
3796901,816943,1480
3796901,819034,852
3796901,820400,509
3859815,879659,1754
3958045,978075,1557
3958045,980049,907
3958045,981136,1910
4035278,900088,1412
4035278,1059287,593
4082184,947213,1465
4082184,949418,909
4146572,882069,1336
4146572,1015004,1095
4237985,973626,1593
4237985,975353,758
4237985,977844,691
4254364,989802,1666
4332428,911224,1076
4332428,1070302,721
4332428,1072653,741
4400440,979041,1373
4400440,983626,819
4421881,1000663,1042
4421881,1003131,908
4433175,1011727,1469
4433175,1014879,1849
4486634,957526,1652
4486634,1067250,563
4486634,1069438,730
4548948,895066,1546
4622956,969014,1713
4622956,971961,885
4622956,973440,583
4721140,870035,1611
4721140,1072111,929
4812420,961168,1525
4812420,963114,691
4846184,995194,1481
4846184,999048,530
4867054,973524,1686
4867054,1018580,602
4867054,1019663,637
4914747,1021262,1486
4989748,945324,1526
4989748,1098862,652
4989748,1100452,1447
5051353,1007252,1568
5051353,1010334,993
5141325,1096966,1592
5141325,1098872,902
5165372,1072072,1658
5165372,1125009,1711
5263202,1169935,1777
5263202,1171764,741
5263202,1174019,972
5320265,1226831,1910
5344363,1201810,1489
5344363,1253068,965
5344363,1255387,1383
5386772,1244605,1484
5386772,1248173,1663
5410913,1268659,1274
5410913,1270906,912
5442285,1236631,1395
5442285,1303556,1932
5468486,1262903,1206
5468486,1264725,763
5468486,1267008,1417
5550889,1345158,1521
5579067,1373405,1307
5579067,1375761,716
5579067,1377795,507
5644814,1306984,1474
5644814,1442219,1148
5669328,1331452,1663
5669328,1333554,514
5716649,1378725,1647
5716649,1382354,1069
5766061,1328401,1892
5766061,1430430,734
5766061,1431484,1929
5790338,1304451,1536
5831150,1345127,1510
5831150,1347686,981
5831150,1349325,1380
5868943,1382773,1408
5868943,1387382,1359
5893738,1357104,1762
5893738,1410218,721
5941608,1309503,1247
5941608,1409389,1403
6038496,1406437,1480
6038496,1408102,531
6038496,1409447,1711
6089416,1354666,1806
6122098,1387618,1184
6122098,1389348,892
6122098,1392079,787
6146274,1362533,1896
6146274,1416321,1041
6186400,1402786,1536
6186400,1404820,886
6214783,1373807,1338
6214783,1434387,782
6229580,1388659,1537
6229580,1390434,952
6229580,1392800,1895
6259681,1418341,1710
6328189,1486946,1465
6328189,1489807,813
6328189,1490933,1203
6371559,1442583,1875
6371559,1534787,782
6462433,1533466,1896
6462433,1535619,593
6497836,1568855,1849
6497836,1572731,822
6522886,1543134,1287
6522886,1595930,678
6522886,1597594,522
6610944,1454754,1691
6638300,1482427,1185
6638300,1484268,915
6638300,1486857,821
6686833,1531009,1306
6686833,1535138,963
6745214,1589135,1699
6745214,1591597,858
6782583,1550895,1637
6782583,1630884,792
6818668,1586960,1654
6818668,1589780,901
6818668,1590344,896
6898235,1666740,1223
6994352,1569758,1635
6994352,1765332,687
6994352,1765790,1958
7031148,1606538,1413
7031148,1610008,918
7061083,1636549,1502
7061083,1638828,864
7108898,1684459,1452
7108898,1688762,1210
7128241,1664432,1627
7128241,1706196,635
7128241,1708436,1546
7217490,1573868,2517
